Area & Type,Location,Rent,Security Deposit,Description,Locality
3 BHK Independent Floor ,Sector 52,"46,000",No Deposit,,"Sector 52 is a neighbourhood in Gurgaon , located close to DLF Golf Course Road . The area is surrounded by neighbourhoods including Sector 51 , Sector 52A, Sector 45 , Sector 46 and Sector 53 ...."
4 BHK Apartment ,Sector 59,"74,000",No Deposit,,
2 BHK Apartment ,Sector 36 Sohna,"20,000",No Deposit,,"Sector 36 Sohna is a well-developed locality in Gurgaon town of the National Capital Region, near suburb Sohna . The localities embracing the locality are Sector 2 Sohna , Sector 33 Sohna , Sector 34..."
1 RK Studio Apartment ,Sector 24,"18,000",No Deposit,,
2 BHK Apartment ,Sector 37D,"13,500",No Deposit,,Sector 37D is a residential area that is well-connected to several areas of Gurgaon . This locality is popular with contemporary home buyers owing to its social infrastructure and amenities....
1 RK Studio Apartment ,Sector 24,"15,000",No Deposit,,
3 BHK Independent Floor ,Sector 25,1,No Deposit,,
2 BHK Independent Floor ,Sector 47,"23,000",No Deposit,,Sector 47 Block A is a residential neighbourhood located close to Nirvana Central Road and Satpaul Mittal Marg. The area is located close to Gurgaon Baani Square. Connectivity NH 248 A is a short...
1 BHK Independent Floor ,Sector 13,"7,000",No Deposit,,
1 BHK Apartment ,Sector 56,"11,000",No Deposit,,Sector 56 is a residential neighbourhood in Gurgaon . It is flanked by Golf Course Extension Road towards the south and by Tau Devi Lal Biodiversity Park lies to its north. Several commercial...
3 BHK Apartment ,Sector 33,"38,000",No Deposit,,"Sector 33 is a residential neighbourhood of Gurgaon located close to Chaudhary Tau Devilal Stadium. It is located close to areas including Sector 10 A, Sector 1 , Islampur Village and Medicity and..."
3 BHK Apartment ,Sector 81,"38,000",No Deposit,,"This locality in Gurgaon is situated 61 kilometres south-west of Delhi , and is in close proximity to Delhi - Ajmer Highway. It is surrounded by sectors 85, 81, 82, and 86. Prestigious companies such..."
2 BHK Apartment ,Sector 54,"50,000",No Deposit,,"Sector 54 is a residential neighbourhood in Gurgaon . The area is surrounded by Sector 55 , Haiderpur, Sector 53 and Sector 42 . The DLF Golf Course is located close to the neighbourhood...."
1 RK Studio Apartment ,Sector 24,"12,000",No Deposit,,
3 BHK Apartment ,Sector 82A,"43,000",No Deposit,,Sector 82A is a noted residential zone in Gurgaon . The area has attained huge popularity owing to its proximity to several business and residential destinations in the city. The locality has...
3 BHK Independent Floor ,Sushant LOK I,"33,000",No Deposit,,"This is one of the most upscale locations of Gurgaon . Developed under the banner of Ansals, it cuts through three sectors - Sector 27 , 28, and 43. Connectivity Mehrauli- Gurgaon Road offers easy..."
2 BHK Apartment ,Sector 95,"12,000",No Deposit,,
1 BHK Independent Floor ,Sector 24,"24,000",No Deposit,,
3 BHK Apartment ,Sector 82A,"57,000",No Deposit,,Sector 82A is a noted residential zone in Gurgaon . The area has attained huge popularity owing to its proximity to several business and residential destinations in the city. The locality has...
2 BHK Apartment ,Sector 65,"58,000",No Deposit,,
2 BHK Apartment ,Sector 92,"11,000",No Deposit,,"Sector 92 is a residential neighbourhood located close to Pataudi Road . The area is surrounded by sectors such as 91, 94, 95 and 86, Bhangrola and Hayatpur . Connectivity Sector 92 is well-connected..."
2 BHK Independent Floor ,Sector 46,"35,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
1 RK Studio Apartment ,Sector 46,"30,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
1 BHK Apartment ,Sector 36A,"16,000",No Deposit,,
1 BHK Apartment ,Sector 36A,"19,000",No Deposit,,
1 BHK Apartment ,Sector 36A,"19,000",No Deposit,,
1 BHK Apartment ,Sector 36A,"19,000",No Deposit,,
3 BHK Independent Floor ,Sector 46,"60,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
1 BHK Independent Floor ,Sector 47,"25,000",No Deposit,,Sector 47 Block A is a residential neighbourhood located close to Nirvana Central Road and Satpaul Mittal Marg. The area is located close to Gurgaon Baani Square. Connectivity NH 248 A is a short...
1 BHK Independent Floor ,Sector 46,"19,800",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
3 BHK Independent Floor ,Sector 48,"45,000",No Deposit,,
3 BHK Independent Floor ,Sector 46,"50,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
5 BHK Independent Floor ,Sector 49,"65,000",No Deposit,,Sector 49 is one of the emerging localities of Gurgaon . It is currently enjoying a high status in terms of being a coveted realty destination. The areas that lie in close proximity include Sector 48...
2 BHK Independent House ,Sector 46,"35,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
3 BHK Independent Floor ,Sector 45,1.48,No Deposit,,"Sector 45 is a suburb of Gurgaon , located near NH 8 or Delhi - Gurgaon Expressway. It is surrounded by areas including Sector 46 , Sector 31 , Sector 39 , Sector 41 and Bindapur. Connectivity Delhi..."
1 BHK Independent Floor ,Sector 46,"18,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
1 BHK Independent Floor ,Sector 46,"18,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
1 BHK Apartment ,Sushant LOK I,"22,000",No Deposit,,"This is one of the most upscale locations of Gurgaon . Developed under the banner of Ansals, it cuts through three sectors - Sector 27 , 28, and 43. Connectivity Mehrauli- Gurgaon Road offers easy..."
1 BHK Independent Floor ,PALAM VIHAR,"16,000",No Deposit,,
1 RK Studio Apartment ,Sector 24,"7,000",No Deposit,,
1 BHK Independent Floor ,Sector 46,"18,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
1 BHK Independent Floor ,Sector 46,"18,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
2 BHK Independent House ,Sector 14,"18,000",No Deposit,,"Sector 14 in Gurgaon is surrounded by Anamika Enclave , DLF Colony and Rajiv Nagar . The sector borders Sectors 12, 15 and 17. Connectivity The Delhi Road is the most important road that passes by..."
2 BHK Independent House ,Sector 14,"18,000",No Deposit,,"Sector 14 in Gurgaon is surrounded by Anamika Enclave , DLF Colony and Rajiv Nagar . The sector borders Sectors 12, 15 and 17. Connectivity The Delhi Road is the most important road that passes by..."
2 BHK Independent House ,Sector 14,"18,000",No Deposit,,"Sector 14 in Gurgaon is surrounded by Anamika Enclave , DLF Colony and Rajiv Nagar . The sector borders Sectors 12, 15 and 17. Connectivity The Delhi Road is the most important road that passes by..."
2 BHK Independent House ,Sector 14,"18,000",No Deposit,,"Sector 14 in Gurgaon is surrounded by Anamika Enclave , DLF Colony and Rajiv Nagar . The sector borders Sectors 12, 15 and 17. Connectivity The Delhi Road is the most important road that passes by..."
2 BHK Independent House ,Sector 14,"18,000",No Deposit,,"Sector 14 in Gurgaon is surrounded by Anamika Enclave , DLF Colony and Rajiv Nagar . The sector borders Sectors 12, 15 and 17. Connectivity The Delhi Road is the most important road that passes by..."
2 BHK Independent House ,Sector 14,"18,000",No Deposit,,"Sector 14 in Gurgaon is surrounded by Anamika Enclave , DLF Colony and Rajiv Nagar . The sector borders Sectors 12, 15 and 17. Connectivity The Delhi Road is the most important road that passes by..."
2 BHK Independent House ,Sector 14,"18,000",No Deposit,,"Sector 14 in Gurgaon is surrounded by Anamika Enclave , DLF Colony and Rajiv Nagar . The sector borders Sectors 12, 15 and 17. Connectivity The Delhi Road is the most important road that passes by..."
2 BHK Independent House ,Sector 14,"18,000",No Deposit,,"Sector 14 in Gurgaon is surrounded by Anamika Enclave , DLF Colony and Rajiv Nagar . The sector borders Sectors 12, 15 and 17. Connectivity The Delhi Road is the most important road that passes by..."
1 RK Studio Apartment ,Sector 14,"12,000",No Deposit,,"Sector 14 in Gurgaon is surrounded by Anamika Enclave , DLF Colony and Rajiv Nagar . The sector borders Sectors 12, 15 and 17. Connectivity The Delhi Road is the most important road that passes by..."
1 RK Studio Apartment ,Sector 14,"10,000",No Deposit,,"Sector 14 in Gurgaon is surrounded by Anamika Enclave , DLF Colony and Rajiv Nagar . The sector borders Sectors 12, 15 and 17. Connectivity The Delhi Road is the most important road that passes by..."
1 RK Studio Apartment ,Sector 14,"15,000",No Deposit,,"Sector 14 in Gurgaon is surrounded by Anamika Enclave , DLF Colony and Rajiv Nagar . The sector borders Sectors 12, 15 and 17. Connectivity The Delhi Road is the most important road that passes by..."
1 BHK Independent Floor ,Sector 46,"18,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
1 BHK Independent Floor ,Sector 46,"18,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
1 BHK Independent Floor ,Sector 46,"18,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
3 BHK Independent Floor ,Sector 30,"35,000",No Deposit,,"Sector 30 is a residential neighbourhood in Gurgaon , along Delhi - Jaipur Expressway. The area is surrounded by neighbourhoods such as Sector 31 , Silokhera, Sector 29 , Moti Vihar and Sector 41 ...."
2 BHK Apartment ,Sector 69,"15,000",No Deposit,,Sector 69 is a prime residential area located in Golf Course Extension Road .Situated off the main road it is a serene neighbourhood with a sprawling park and availability of all kinds of basic...
2 BHK Independent House ,Sector 14,"18,000",No Deposit,,"Sector 14 in Gurgaon is surrounded by Anamika Enclave , DLF Colony and Rajiv Nagar . The sector borders Sectors 12, 15 and 17. Connectivity The Delhi Road is the most important road that passes by..."
2 BHK Independent House ,Sector 14,"18,000",No Deposit,,"Sector 14 in Gurgaon is surrounded by Anamika Enclave , DLF Colony and Rajiv Nagar . The sector borders Sectors 12, 15 and 17. Connectivity The Delhi Road is the most important road that passes by..."
2 BHK Independent House ,Sector 14,"18,000",No Deposit,,"Sector 14 in Gurgaon is surrounded by Anamika Enclave , DLF Colony and Rajiv Nagar . The sector borders Sectors 12, 15 and 17. Connectivity The Delhi Road is the most important road that passes by..."
3 BHK Independent Floor ,Sector 30,"35,000",No Deposit,,"Sector 30 is a residential neighbourhood in Gurgaon , along Delhi - Jaipur Expressway. The area is surrounded by neighbourhoods such as Sector 31 , Silokhera, Sector 29 , Moti Vihar and Sector 41 ...."
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
2 BHK Independent House ,Sector 14,"18,000",No Deposit,,"Sector 14 in Gurgaon is surrounded by Anamika Enclave , DLF Colony and Rajiv Nagar . The sector borders Sectors 12, 15 and 17. Connectivity The Delhi Road is the most important road that passes by..."
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
3 BHK Independent Floor ,Sector 30,"35,000",No Deposit,,"Sector 30 is a residential neighbourhood in Gurgaon , along Delhi - Jaipur Expressway. The area is surrounded by neighbourhoods such as Sector 31 , Silokhera, Sector 29 , Moti Vihar and Sector 41 ...."
3 BHK Independent Floor ,Sector 30,"35,000",No Deposit,,"Sector 30 is a residential neighbourhood in Gurgaon , along Delhi - Jaipur Expressway. The area is surrounded by neighbourhoods such as Sector 31 , Silokhera, Sector 29 , Moti Vihar and Sector 41 ...."
3 BHK Independent Floor ,Sector 30,"35,000",No Deposit,,"Sector 30 is a residential neighbourhood in Gurgaon , along Delhi - Jaipur Expressway. The area is surrounded by neighbourhoods such as Sector 31 , Silokhera, Sector 29 , Moti Vihar and Sector 41 ...."
3 BHK Independent Floor ,Sector 30,"35,000",No Deposit,,"Sector 30 is a residential neighbourhood in Gurgaon , along Delhi - Jaipur Expressway. The area is surrounded by neighbourhoods such as Sector 31 , Silokhera, Sector 29 , Moti Vihar and Sector 41 ...."
3 BHK Independent Floor ,Sector 30,"35,000",No Deposit,,"Sector 30 is a residential neighbourhood in Gurgaon , along Delhi - Jaipur Expressway. The area is surrounded by neighbourhoods such as Sector 31 , Silokhera, Sector 29 , Moti Vihar and Sector 41 ...."
3 BHK Independent Floor ,Sector 30,"35,000",No Deposit,,"Sector 30 is a residential neighbourhood in Gurgaon , along Delhi - Jaipur Expressway. The area is surrounded by neighbourhoods such as Sector 31 , Silokhera, Sector 29 , Moti Vihar and Sector 41 ...."
3 BHK Independent Floor ,Sector 30,"35,000",No Deposit,,"Sector 30 is a residential neighbourhood in Gurgaon , along Delhi - Jaipur Expressway. The area is surrounded by neighbourhoods such as Sector 31 , Silokhera, Sector 29 , Moti Vihar and Sector 41 ...."
3 BHK Independent Floor ,Sector 30,"35,000",No Deposit,,"Sector 30 is a residential neighbourhood in Gurgaon , along Delhi - Jaipur Expressway. The area is surrounded by neighbourhoods such as Sector 31 , Silokhera, Sector 29 , Moti Vihar and Sector 41 ...."
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
